"file","header","type","fid","unitId","unitName","bandTop","bandBottom","note"
"Screenshot_20260712_205807_WH 40K.jpg","SOROR...","cover","AS","","","368","944","vision"
"Screenshot_20260712_205811_WH 40K.jpg","AND Q","unit","AS","000002480","Aestred Thurga And Agathae Dolan","368","2784","vision"
"Screenshot_20260712_205814_WH 40K.jpg","ARCO-FLAGELLANTS","unit","AS","000000896","Arco-flagellants","368","2784",""
"Screenshot_20260712_205818_WH 40K.jpg","BATTLE SISTERS saun","unit","AS","000000903","Battle Sisters Squad","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_205821_WH 40K.jpg","ANONESS","unit","AS","000000899","Canoness","368","2784","fuzzy rel=0.12"
"Screenshot_20260712_205824_WH 40K.jpg","ANONESS JUMP...","unit","AS","000000899","Canoness","368","2784","fuzzy rel=0.25"
"Screenshot_20260712_205828_WH 40K.jpg","ASTIGATOR","unit","AS","000002484","Castigator","368","2784","fuzzy rel=0.1"
"Screenshot_20260712_205831_WH 40K.jpg","ELESTIN INSIDIANTS","unit","AS","000004189","Celestian Insidiants","368","2784","fuzzy rel=0.1"
"Screenshot_20260712_205835_WH 40K.jpg","ELESTIN SACRESANTS","unit","AS","000002481","Celestian Sacresants","368","2784","fuzzy rel=0.1"
"Screenshot_20260712_205838_WH 40K.jpg","DAEMONIFUGE","unit","AS","000002771","Daemonifuge","368","2784",""
"Screenshot_20260712_205842_WH 40K.jpg","DIALOGUS","unit","AS","000000902","Dialogus","368","2784",""
"Screenshot_20260712_205846_WH 40K.jpg","DOGMATA","unit","AS","000002482","Dogmata","368","2784",""
"Screenshot_20260712_205849_WH 40K.jpg","DOMINION SQUAD","unit","AS","000000909","Dominion Squad","368","2784",""
"Screenshot_20260712_205853_WH 40K.jpg","EXORCIST","unit","AS","000000912","Exorcist","368","2784",""
"Screenshot_20260712_205857_WH 40K.jpg","HOSPITALLER","unit","AS","000000901","Hospitaller","368","2784",""
"Screenshot_20260712_205902_WH 40K.jpg","IMAGIFIER","unit","AS","000000900","Imagifier","368","2784",""
"Screenshot_20260712_205905_WH 40K.jpg","IMMOLATOR","unit","AS","000000911","Immolator","368","2784",""
"Screenshot_20260712_205908_WH 40K.jpg","","unit","AS","000002064","Junith Eruita","368","2784","vision"
"Screenshot_20260712_205912_WH 40K.jpg","","named","AS","","Intranzia Fraye","368","2784","vision (not in dataset)"
"Screenshot_20260712_205916_WH 40K.jpg","MINISTORUM PRIEST","unit","AM","000001394","Ministorum Priest","368","2784",""
"Screenshot_20260712_205920_WH 40K.jpg","MORTIFIERS","unit","AS","000002067","Mortifiers","368","2784",""
"Screenshot_20260712_205924_WH 40K.jpg","MORVENN VAHL","unit","AS","000002479","Morvenn Vahl","368","2784",""
"Screenshot_20260712_205928_WH 40K.jpg","PALATINE","unit","AS","000002472","Palatine","368","2784",""
"Screenshot_20260712_205939_WH 40K.jpg","PARAGON wnsurs","unit","AS","000002483","Paragon Warsuits","368","2784","fuzzy rel=0.25"
"Screenshot_20260712_205945_WH 40K.jpg","PENITENT ENGINES","unit","AS","000000897","Penitent Engines","368","2784",""
"Screenshot_20260712_205949_WH 40K.jpg","SQUAD","unit","SM","000000116","Bike Squad","368","2784","fuzzy rel=0"
"Screenshot_20260712_205953_WH 40K.jpg","SQUAD","unit","SM","000000116","Bike Squad","368","2784","fuzzy rel=0"
"Screenshot_20260712_205956_WH 40K.jpg","SAINT CELESTINE","unit","AS","000000898","Saint Celestine","368","2784",""
"Screenshot_20260712_205959_WH 40K.jpg","SANCTIFIERS","unit","AoI","000004074","Sanctifiers","368","1088",""
"Screenshot_20260712_210003_WH 40K.jpg","SERAPHIM saun","unit","AS","000000904","Seraphim Squad","368","2784","fuzzy rel=0.15"
"Screenshot_20260712_210007_WH 40K.jpg","SISTERS NOVITIATE SO...","unit","AS","000002507","Sisters Novitiate Squad","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_210016_WH 40K.jpg","SORORITAS RHINO","unit","AS","000000910","Sororitas Rhino","368","2784",""
"Screenshot_20260712_210020_WH 40K.jpg","TRIUMPH OF SAINT UT... Q","unit","AS","000002063","Triumph Of Saint Katherine","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_210024_WH 40K.jpg","SQUAD","unit","SM","000000116","Bike Squad","368","2784","fuzzy rel=0"
